Time_s,Phi_query_deg,Theta_query_deg
47.5,180,97.7824629470764
47.6,180,97.7636363398892
47.7,180,97.7449000458842
47.8,180,97.7262534207325
47.9,180,97.7076958261815
48,180,97.6892266299845
48.1,180,97.6708452058302
48.2,180,97.6525509332738
48.3,180,97.634343197669
48.4,180,97.6162213901006
48.5,180,97.5981849073186
48.6,180,97.5802331516726
48.7,180,97.5623655310475
48.8,180,97.5445814588
48.9,180,97.5268803536957
49,180,97.5092616398476
49.1,180,97.4917247466548
49.2,180,97.4742691087426
49.3,180,97.456894165903
49.4,180,97.4395993630363
49.5,180,97.4223841500932
49.6,180,97.4052479820179
49.7,180,97.3881903186919
49.8,180,97.3712106248785
49.9,180,97.3543083701683
50,180,97.3374830289248
50.1,180,97.3207340802314
50.2,180,97.3040610078392
50.3,180,97.2874633001142
50.4,180,97.2709404499871
50.5,180,97.2544919549022
50.6,180,97.2381173167679
50.7,180,97.2218160419071
50.8,180,97.2055876410093
50.9,180,97.1894316290821
51,180,97.1733475254042
51.1,180,97.1573348534788
51.2,180,97.1413931409875
51.3,180,97.1255219197446
51.4,180,97.1097207256526
51.5,180,97.0939890986578
51.6,180,97.0783265827065
51.7,180,97.0627327257019
51.8,180,97.0472070794615
51.9,180,97.0317491996751
52,180,97.0163586458632
52.1,180,97.0010349813361
52.2,180,96.9857777731535
52.3,180,96.9705865920841
52.4,180,96.9554610125671
52.5,180,96.9404006126722
52.6,180,96.9254049740618
52.7,180,96.910473681953
52.8,180,96.8956063250799
52.9,180,96.8808024956566
53,180,96.8660617893409
53.1,180,96.851383805198
53.2,180,96.8367681456647
53.3,180,96.8222144165148
53.4,180,96.8077222268236
53.5,180,96.7932911889341
53.6,180,96.7789209184229
53.7,180,96.7646110340666
53.8,180,96.7503611578092
53.9,180,96.7361709147287
54,180,96.7220399330055
54.1,180,96.7079678438902
54.2,180,96.6939542816722
54.3,180,96.6799988836488
54.4,180,96.6661012900939
54.5,180,96.6522611442285
54.6,180,96.63847809219
54.7,180,96.6247517830029
54.8,180,96.6110818685498
54.9,180,96.597468003542
55,180,96.5839098454912
55.1,180,96.5704070546815
55.2,180,96.5569592941411
55.3,180,96.543566229615
55.4,180,96.5302275295381
55.5,180,96.5169428650077
55.6,180,96.5037119097575
55.7,180,96.4905343401308
55.8,180,96.4774098350552
55.9,180,96.4643380760167
56,180,96.451318747034
56.1,180,96.4383515346342
56.2,180,96.4254361278276
56.3,180,96.4125722180832
56.4,180,96.3997594993049
56.5,180,96.3869976678075
56.6,180,96.3742864222928
56.7,180,96.3616254638269
56.8,180,96.3490144958166
56.9,180,96.3364532239869
57,180,96.3239413563583
57.1,180,96.3114786032251
57.2,180,96.2990646771324
57.3,180,96.2866992928555
57.4,180,96.2743821673775
57.5,180,96.2621130198687
57.6,180,96.2498915716651
57.7,180,96.2377175462481
57.8,180,96.2255906692236
57.9,180,96.213510668302
58,180,96.2014772732779
58.1,180,96.1894902160104
58.2,180,96.1775492304037
