Time_s,Lat_deg,Lon_deg,Alt_m,Yaw_deg,Pitch_deg,Roll_deg
30.8,39.9647671945503,116.3,1670.10111744307,0,0,0
30.9,39.9650366891355,116.3,1670.10111744307,0,0,0
31,39.9653061837207,116.3,1670.10111744307,0,0,0
31.1,39.965575678306,116.3,1670.10111744307,0,0,0
31.2,39.9658451728912,116.3,1670.10111744307,0,0,0
31.3,39.9661146674764,116.3,1670.10111744307,0,0,0
31.4,39.9663841620617,116.3,1670.10111744307,0,0,0
31.5,39.9666536566469,116.3,1670.10111744307,0,0,0
31.6,39.9669231512321,116.3,1670.10111744307,0,0,0
31.7,39.9671926458174,116.3,1670.10111744307,0,0,0
31.8,39.9674621404026,116.3,1670.10111744307,0,0,0
31.9,39.9677316349878,116.3,1670.10111744307,0,0,0
32,39.9680011295731,116.3,1670.10111744307,0,0,0
32.1,39.9682706241583,116.3,1670.10111744307,0,0,0
32.2,39.9685401187436,116.3,1670.10111744307,0,0,0
32.3,39.9688096133288,116.3,1670.10111744307,0,0,0
32.4,39.969079107914,116.3,1670.10111744307,0,0,0
32.5,39.9693486024993,116.3,1670.10111744307,0,0,0
32.6,39.9696180970845,116.3,1670.10111744307,0,0,0
32.7,39.9698875916697,116.3,1670.10111744307,0,0,0
32.8,39.970157086255,116.3,1670.10111744307,0,0,0
32.9,39.9704265808402,116.3,1670.10111744307,0,0,0
33,39.9706960754254,116.3,1670.10111744307,0,0,0
33.1,39.9709655700107,116.3,1670.10111744307,0,0,0
33.2,39.9712350645959,116.3,1670.10111744307,0,0,0
33.3,39.9715045591811,116.3,1670.10111744307,0,0,0
33.4,39.9717740537664,116.3,1670.10111744307,0,0,0
33.5,39.9720435483516,116.3,1670.10111744307,0,0,0
33.6,39.9723130429369,116.3,1670.10111744307,0,0,0
33.7,39.9725825375221,116.3,1670.10111744307,0,0,0
33.8,39.9728520321073,116.3,1670.10111744307,0,0,0
33.9,39.9731215266926,116.3,1670.10111744307,0,0,0
34,39.9733910212778,116.3,1670.10111744307,0,0,0
34.1,39.973660515863,116.3,1670.10111744307,0,0,0
34.2,39.9739300104483,116.3,1670.10111744307,0,0,0
34.3,39.9741995050335,116.3,1670.10111744307,0,0,0
34.4,39.9744689996187,116.3,1670.10111744307,0,0,0
34.5,39.974738494204,116.3,1670.10111744307,0,0,0
34.6,39.9750079887892,116.3,1670.10111744307,0,0,0
34.7,39.9752774833744,116.3,1670.10111744307,0,0,0
34.8,39.9755469779597,116.3,1670.10111744307,0,0,0
34.9,39.9758164725449,116.3,1670.10111744307,0,0,0
35,39.9760859671302,116.3,1670.10111744307,0,0,0
35.1,39.9763554617154,116.3,1670.10111744307,0,0,0
35.2,39.9766249563006,116.3,1670.10111744307,0,0,0
35.3,39.9768944508859,116.3,1670.10111744307,0,0,0
35.4,39.9771639454711,116.3,1670.10111744307,0,0,0
35.5,39.9774334400563,116.3,1670.10111744307,0,0,0
35.6,39.9777029346416,116.3,1670.10111744307,0,0,0
35.7,39.9779724292268,116.3,1670.10111744307,0,0,0
35.8,39.978241923812,116.3,1670.10111744307,0,0,0
35.9,39.9785114183973,116.3,1670.10111744307,0,0,0
36,39.9787809129825,116.3,1670.10111744307,0,0,0
36.1,39.9790504075678,116.3,1670.10111744307,0,0,0
36.2,39.979319902153,116.3,1670.10111744307,0,0,0
36.3,39.9795893967382,116.3,1670.10111744307,0,0,0
36.4,39.9798588913235,116.3,1670.10111744307,0,0,0
36.5,39.9801283859087,116.3,1670.10111744307,0,0,0
36.6,39.9803978804939,116.3,1670.10111744307,0,0,0
36.7,39.9806673750792,116.3,1670.10111744307,0,0,0
36.8,39.9809368696644,116.3,1670.10111744307,0,0,0
36.9,39.9812063642496,116.3,1670.10111744307,0,0,0
37,39.9814758588349,116.3,1670.10111744307,0,0,0
37.1,39.9817453534201,116.3,1670.10111744307,0,0,0
37.2,39.9820148480053,116.3,1670.10111744307,0,0,0
37.3,39.9822843425906,116.3,1670.10111744307,0,0,0
37.4,39.9825538371758,116.3,1670.10111744307,0,0,0
37.5,39.9828233317611,116.3,1670.10111744307,0,0,0
37.6,39.9830928263463,116.3,1670.10111744307,0,0,0
37.7,39.9833623209315,116.3,1670.10111744307,0,0,0
37.8,39.9836318155168,116.3,1670.10111744307,0,0,0
37.9,39.983901310102,116.3,1670.10111744307,0,0,0
38,39.9841708046872,116.3,1670.10111744307,0,0,0
38.1,39.9844402992725,116.3,1670.10111744307,0,0,0
38.2,39.9847097938577,116.3,1670.10111744307,0,0,0
38.3,39.9849792884429,116.3,1670.10111744307,0,0,0
38.4,39.9852487830282,116.3,1670.10111744307,0,0,0
38.5,39.9855182776134,116.3,1670.10111744307,0,0,0
38.6,39.9857877721986,116.3,1670.10111744307,0,0,0
38.7,39.9860572667839,116.3,1670.10111744307,0,0,0
