Freq [GHz],Phi [deg],Theta [deg],dB(RealizedGainTotal)
1,-50,-155,-15.0461028761494
1,-50,-150,-21.082847720555
1,-50,-145,-49.6915268863378
1,-50,-140,-49.7160442636998
1,-50,-135,-21.0484014286526
1,-50,-130,-15.0285098050739
1,-50,-125,-11.4901992278796
1,-50,-120,-8.96839316001322
1,-50,-115,-7.00559778323125
1,-50,-110,-5.40065452614831
1,-50,-105,-4.04891122923933
1,-50,-100,-2.89039667092563
1,-50,-95,-1.88869309597073
1,-50,-90,-1.02093023200358
1,-50,-85,-0.27250701374284
1,-50,-80,0.36592911601733
1,-50,-75,0.900322556086014
1,-50,-70,1.33438480828136
1,-50,-65,1.67036974072856
1,-50,-60,1.9095933343678
1,-50,-55,2.0527801085934
1,-50,-50,2.10028408498979
1,-50,-45,2.05221180834938
1,-50,-40,1.90846171023948
1,-50,-35,1.66868423594723
1,-50,-30,1.3321582846503
1,-50,-25,0.89756963996636
1,-50,-20,0.362663814382222
1,-50,-15,-0.276274648177404
1,-50,-10,-1.02519878187552
1,-50,-5,-1.89347653318504
1,-50,0,-2.89573457615566
1,-50,5,-4.05488530212084
1,-50,10,-5.40741755854203
1,-50,15,-7.01342997396955
1,-50,20,-8.9778267590631
1,-50,25,-11.5023481520302
1,-50,30,-15.0462183390065
1,-50,35,-21.0831027938117
1,-50,40,-49.6915268863378
1,-50,45,-49.7160442636998
1,-50,50,-21.0481538901396
1,-50,55,-15.028374611912
1,-50,60,-11.4901025933621
1,-50,65,-8.96831717865478
1,-50,70,-7.00553576104626
1,-50,75,-5.40060346500474
1,-50,80,-4.04886965818304
1,-50,85,-2.8903638199564
1,-50,90,-1.88866852039232
1,-50,95,-1.02091361973568
1,-50,100,-0.272498078423003
1,-50,105,0.365930696539028
1,-50,110,0.900317174498349
1,-50,115,1.33437294520586
1,-50,120,1.67035196991408
1,-50,125,1.90957031878566
1,-50,130,2.05275258948823
1,-50,135,2.10025286538814
1,-50,140,2.0521777322151
1,-50,145,1.90842563826438
1,-50,150,1.66864701880194
1,-50,155,1.33212073434563
