Time_s,Phi_query_deg,Theta_query_deg
24.1,158.020019857187,136.701126584894
24.2,157.79900907168,136.960260029222
24.3,157.576123280771,137.218746916318
24.4,157.35132857424,137.476584105839
24.5,157.124590477395,137.733768246946
24.6,156.895873939772,137.990295775893
24.7,156.665143323745,138.246162913481
24.8,156.432362393031,138.501365662387
24.9,156.197494301109,138.755899804342
25,155.960501579564,139.009760897189
25.1,155.72134612636,139.262944271785
25.2,155.47998919406,139.51544502878
25.3,155.236391377996,139.767258035243
25.4,154.990512604415,140.018377921155
25.5,154.742312118601,140.268799075749
25.6,154.491748473001,140.518515643709
25.7,154.238779515364,140.767521521229
25.8,153.983362376915,141.01581035191
25.9,153.725453460582,141.263375522518
26,153.4650084293,141.510210158589
26.1,153.201982194413,141.756307119875
26.2,152.9363289042,142.001658995645
26.3,152.668001932554,142.24625809982
26.4,152.396953867836,142.490096465963
26.5,152.123136501949,142.7331658421
26.6,151.846500819651,142.975457685387
26.7,151.566996988155,143.216963156616
26.8,151.284574347047,143.457673114558
26.9,150.99918139857,143.697578110144
27,150.710765798314,143.936668380485
27.1,150.419274346367,144.174933842728
27.2,150.124652978969,144.412364087744
27.3,149.82684676073,144.648948373658
27.4,149.525799877476,144.884675619215
27.5,149.221455629772,145.119534396981
27.6,148.9137564272,145.353512926382
27.7,148.602643783461,145.586599066583
27.8,148.288058312374,145.818780309212
27.9,147.969939724855,146.050043770919
28,147.648226826962,146.280376185791
28.1,147.322857519093,146.509763897605
28.2,146.99376879644,146.738192851944
28.3,146.660896750794,146.965648588165
28.4,146.324176573811,147.192116231223
28.5,145.983542561861,147.41758048338
28.6,145.638928122562,147.642025615767
28.7,145.290265783153,147.865435459847
28.8,144.937487200809,148.087793398754
28.9,144.580523175066,148.309082358537
29,144.219303662485,148.529284799319
29.1,143.853757793725,148.748382706366
29.2,143.483813893173,148.966357581101
29.3,143.10939950132,149.18319043206
29.4,142.730441400039,149.398861765814
29.5,142.346865640974,149.613351577872
29.6,141.958597577219,149.826639343583
29.7,141.56556189849,150.038704009057
29.8,141.167682670011,150.249523982132
29.9,140.764883375317,150.4590771234
30,140.357086963206,150.667340737331
30.1,139.944215899073,150.874291563513
30.2,139.526192220863,151.079905768046
30.3,139.102937599883,151.284158935114
30.4,138.674373406734,151.48702605878
30.5,138.240420782612,151.688481535034
30.6,137.801000716237,151.888499154138
30.7,137.356034126683,152.087052093309
30.8,136.905441952367,152.284112909788
30.9,136.449145246461,152.479653534341
31,135.98706527901,152.673645265251
31.1,135.519123646007,152.866058762846
31.2,135.045242385688,153.056864044625
31.3,134.565344102313,153.246030481054
31.4,134.079352097672,153.433526792073
31.5,133.587190510556,153.619321044411
31.6,133.088784464424,153.803380649758
31.7,132.584060223462,153.985672363878
31.8,132.072945357248,154.166162286742
31.9,131.555368914158,154.344815863759
32,131.031261603683,154.521597888187
32.1,130.500555987755,154.696472504821
32.2,129.963186681156,154.869403215035
32.3,129.419090561053,155.04035288328
32.4,128.868206985648,155.209283745124
32.5,128.310478021892,155.376157416946
32.6,127.745848682145,155.540934907357
32.7,127.174267169616,155.703576630471
32.8,126.595685132354,155.864042421113
32.9,126.010057925472,156.022291552066
33,125.417344881235,156.178282753452
33.1,124.817509586537,156.331974234351
33.2,124.210520167228,156.483323706752
33.3,123.596349578632,156.632288411922
33.4,122.974975901534,156.778825149281
33.5,122.346382642776,156.92289030788
33.6,121.710559039522,157.064439900542
33.7,121.067500366131,157.203429600736
33.8,120.417208242473,157.339814782266
33.9,119.759690942385,157.473550561799
34,119.094963700895,157.60459184429
34.1,118.42304901868,157.732893371331
34.2,117.743976962135,157.858409772425
34.3,117.057785457336,157.981095619206
34.4,116.364520576031,158.100905482569
34.5,115.664236811747,158.217793992686
34.6,114.956997343982,158.331715901846
34.7,114.242874288369,158.442626150062
34.8,113.521948930666,158.550479933323
34.9,112.794311942323,158.655232774401
35,112.060063575409,158.756840596047
35.1,111.319313834589,158.855259796441
35.2,110.572182623921,158.950447326671
35.3,109.818799866215,159.042360770061
35.4,109.059305592771,159.130958423084
35.5,108.293850001391,159.21619937762
35.6,107.522593480657,159.298043604247
35.7,106.745706598593,159.376452036283
35.8,105.963370054012,159.451386654225
35.9,105.175774589003,159.522810570246
36,104.383120861253,159.59068811238
36.1,103.58561927514,159.654984908001
36.2,102.78348977078,159.715667966208
36.3,101.976961570535,159.772705758698
36.4,101.166272882768,159.826068298709
36.5,100.351670562993,159.875727217618
36.6,99.5334097328763,159.921655838765
36.7,98.7117533579528,159.963829248088
36.8,97.8869717852233,160.002224361158
36.9,97.0593422422141,160.036819986206
37,96.2291482994083,160.06759688277
37.1,95.3966792983249,160.094537815591
37.2,94.5622297478549,160.117627603411
37.3,93.7260986917826,160.136853162367
37.4,92.8885890507176,160.152203543698
37.5,92.0500069419264,160.163669965508
37.6,91.2106609807872,160.17124583838
37.7,90.3708615677872,160.17492678467
37.8,89.5309201651363,160.174710651342
37.9,88.6911485671857,160.170597516264
38,87.8518581689034,160.162589687925
38.1,87.0133592366847,160.150691698561
38.2,86.175960185746,160.134910290753
38.3,85.3399668682814,160.115254397582
38.4,84.5056818764434,160.091735116466
38.5,83.6734038640515,160.064365676873
38.6,82.8434268907308,160.03316140211
38.7,82.0160397919487,159.998139665447
38.8,81.1915255781471,159.959319840862
38.9,80.3701608658702,159.916723248717
39,79.5522153434696,159.870373096724
39.1,78.7379512736241,159.820294416549
39.2,77.9276230345648,159.766513996449
39.3,77.1214767015291,159.709060310352
39.4,76.3197496696085,159.647963443772
39.5,75.5226703187902,159.583255016999
39.6,74.730457721638,159.51496810597
39.7,73.9433213937149,159.443137161253
39.8,73.1614610865185,159.367797925559
39.9,72.3850666223926,159.288987350184
40,71.6143177705859,159.206743510791
40.1,70.8493841633646,159.121105522908
40.2,70.0904252508468,159.032113457509
40.3,69.3375902930107,158.939808257036
40.4,68.5910183871474,158.844231652186
40.5,67.850838528869,158.745426079765
40.6,67.1171697046558,158.643434601904
40.7,66.3901210138246,158.538300826892
40.8,65.6697918177261,158.43006883186
40.9,64.9562719139297,158.318783087534
41,64.2496417331295,158.204488385231
41.1,63.5499725565031,158.087229766283
41.2,62.8573267512699,157.967052453999
41.3,62.1717580222364,157.844001788308
41.4,61.4933116771636,157.718123163156
41.5,60.8220249038621,157.589461966741
41.6,60.1579270569978,157.45806352463
41.7,59.5010399526825,157.323973045799
41.8,58.8513781690186,157.187235571607
41.9,58.208949350876,157.0478959277
42,57.5737545172835,156.905998678836
42.1,56.9457883699336,156.7615880866
42.2,56.3250396014115,156.614708069958
42.3,55.7114912018745,156.465402168619
42.4,55.1051207630206,156.313713509115
42.5,54.5059007782987,156.159684773554
42.6,53.9137989384218,156.003358170954
42.7,53.3287784213472,155.844775411076
42.8,52.7507981759952,155.683977680679
42.9,52.1798131990688,155.521005622082
43,51.6157748044335,155.355899313965
43.1,51.0586308846,155.188698254291
43.2,50.5083261639362,155.019441345262
43.3,49.9648024433091,154.848166880198
43.4,49.4279988359279,154.674912532256
43.5,48.8978519942246,154.499715344876
43.6,48.3742963276667,154.322611723862
43.7,47.8572642114504,154.143637431
43.8,47.3466861860728,153.962827579124
43.9,46.8424911478212,153.78021662853
44,46.3446065302626,153.595838384653
44.1,45.8529584768434,153.409725996919
44.2,45.3674720047463,153.221911958692
44.3,44.8880711601715,153.032428108226
44.4,44.4146791652365,152.841305630554
44.5,43.9472185567037,152.648575060237
44.6,43.4856113167629,152.454266284891
44.7,43.0297789961086,152.258408549449
